lag,batch_size,neurons,layers,split,accuracy,f1-0,f1-1,f1-2,f1-3,f1-4,f1-5,f1-6,f1-7,f1-8,f1-9,diff_acc,max_acc,mean_acc,min_acc,f1-total
7,80,128,2,0.85,,0,0,0,0,0.346197886,0.523462546,0,0,0,0,0.164179104,0.52238806,0.423880597,0.358208955,0.869660432
7,50,64,3,0.85,,0,0,0,0,0.363453537,0.506154875,0,0,0,0,0.104477612,0.47761194,0.429850746,0.373134328,0.869608412
7,5,128,1,0.85,,0,0,0,0,0.365307345,0.503447379,0,0,0,0,0.119402985,0.47761194,0.426865672,0.358208955,0.868754723
7,5,16,1,0.85,,0,0,0,0,0.34259112,0.524805682,0,0,0,0,0.149253731,0.507462687,0.423880597,0.358208955,0.867396802
3,80,32,3,0.85,,0,0,0,0.133333333,0.204444444,0.529487733,0,0,0,0,0.117647059,0.455882353,0.411764706,0.338235294,0.867265511
3,80,16,2,0.85,,0,0,0,0.213333333,0.07977208,0.573808722,0,0,0,0,0.088235294,0.455882353,0.414705882,0.367647059,0.866914135
7,5,64,1,0.85,,0,0,0,0,0.35426375,0.511859294,0,0,0,0,0.119402985,0.47761194,0.420895522,0.358208955,0.866123044
3,5,128,1,0.85,,0,0,0,0,0.300501476,0.564978391,0,0,0,0,0.058823529,0.470588235,0.455882353,0.411764706,0.865479867
7,50,32,1,0.85,,0,0,0,0,0.341793263,0.523418697,0,0,0,0,0.119402985,0.492537313,0.423880597,0.373134328,0.86521196
3,5,64,1,0.85,,0,0,0,0,0.304026941,0.561170983,0,0,0,0,0.029411765,0.470588235,0.45,0.441176471,0.865197924
3,80,256,2,0.85,,0,0,0,0,0.369206452,0.495483035,0,0,0,0,0.102941176,0.485294118,0.417647059,0.382352941,0.864689487
7,20,64,1,0.85,,0,0,0,0,0.338118994,0.523021003,0,0,0,0,0.134328358,0.492537313,0.423880597,0.358208955,0.861139997
7,50,128,1,0.85,,0,0,0,0,0.333198688,0.527431435,0,0,0,0,0.194029851,0.52238806,0.420895522,0.328358209,0.860630123
3,5,128,2,0.85,,0,0,0,0,0.319469915,0.540177676,0,0,0,0,0.073529412,0.485294118,0.452941176,0.411764706,0.859647591
3,5,16,2,0.85,,0,0,0,0.133333333,0.180825538,0.545452799,0,0,0,0,0.088235294,0.455882353,0.411764706,0.367647059,0.85961167
14,5,16,2,0.85,,0,0,0,0,0.286609268,0.57201733,0,0,0,0,0.181818182,0.545454545,0.451515152,0.363636364,0.858626598
1,5,128,3,0.85,,0,0,0,0,0.297667936,0.55996906,0,0,0,0,0.117647059,0.5,0.441176471,0.382352941,0.857636996
3,20,128,2,0.85,,0,0,0,0,0.358641069,0.496354743,0,0,0,0,0.073529412,0.455882353,0.417647059,0.382352941,0.854995812
14,5,64,2,0.85,,0,0,0,0,0.338674565,0.514661855,0,0,0,0,0.060606061,0.454545455,0.427272727,0.393939394,0.853336419
3,50,16,3,0.85,,0,0,0,0,0.361335411,0.489779078,0,0,0,0,0.147058824,0.514705882,0.420588235,0.367647059,0.851114489
7,5,32,2,0.85,,0,0,0,0,0.328767769,0.519573417,0,0,0,0,0.164179104,0.507462687,0.420895522,0.343283582,0.848341187
3,50,64,3,0.85,,0,0,0,0,0.37024235,0.477588742,0,0,0,0,0.147058824,0.470588235,0.408823529,0.323529412,0.847831092
14,5,16,1,0.85,,0,0,0,0,0.28000604,0.566382306,0,0,0,0,0.121212121,0.5,0.439393939,0.378787879,0.846388347
3,80,64,1,0.85,,0,0,0,0,0.29122865,0.547025679,0,0,0,0,0.147058824,0.485294118,0.432352941,0.338235294,0.838254329
14,80,16,3,0.85,,0,0,0,0.183333333,0.037903226,0.612318115,0,0,0,0,0.075757576,0.46969697,0.442424242,0.393939394,0.833554674
3,5,256,3,0.85,,0,0,0,0,0.344430642,0.484174591,0,0,0,0,0.088235294,0.5,0.441176471,0.411764706,0.828605233
7,80,32,2,0.85,,0,0,0,0,0.306948779,0.521149425,0,0,0,0,0.149253731,0.507462687,0.423880597,0.358208955,0.828098205
7,50,256,1,0.85,,0,0,0,0,0.306937442,0.520250578,0,0,0,0,0.149253731,0.507462687,0.411940299,0.358208955,0.827188019
14,20,16,2,0.85,,0,0,0,0,0.206931638,0.620191969,0,0,0,0,0.060606061,0.5,0.46969697,0.439393939,0.827123607
7,5,256,2,0.85,,0,0,0,0.04,0.360743165,0.425729217,0,0,0,0,0.059701493,0.432835821,0.397014925,0.373134328,0.826472382
3,20,32,3,0.85,,0,0,0,0,0.269253103,0.554237638,0,0,0,0,0.102941176,0.5,0.441176471,0.397058824,0.823490741
3,5,256,1,0.85,,0,0,0,0,0.295962792,0.52372376,0,0,0,0,0.147058824,0.514705882,0.444117647,0.367647059,0.819686553
3,5,64,3,0.85,,0,0,0,0,0.255462653,0.563674777,0,0,0,0,0.117647059,0.514705882,0.452941176,0.397058824,0.81913743
7,80,32,3,0.85,,0,0,0,0,0.287597641,0.53131985,0,0,0,0,0.104477612,0.462686567,0.423880597,0.358208955,0.818917491
14,80,16,2,0.85,,0,0,0,0,0.20298664,0.615520983,0,0,0,0,0.090909091,0.515151515,0.466666667,0.424242424,0.818507623
1,50,128,2,0.85,,0,0,0,0,0.209401709,0.541700857,0.066666667,0,0,0,0.117647059,0.470588235,0.414705882,0.352941176,0.817769234
1,20,256,2,0.85,,0,0,0,0,0.263051541,0.553512843,0,0,0,0,0.058823529,0.455882353,0.423529412,0.397058824,0.816564384
3,80,128,3,0.85,,0,0,0,0,0.302977227,0.513404549,0,0,0,0,0.117647059,0.470588235,0.408823529,0.352941176,0.816381777
7,50,128,2,0.85,,0,0,0,0,0.307876912,0.505909075,0,0,0,0,0.194029851,0.492537313,0.402985075,0.298507463,0.813785987
1,20,256,3,0.85,,0,0,0,0,0.254715667,0.558029429,0,0,0,0,0.073529412,0.470588235,0.423529412,0.397058824,0.812745096
7,50,32,3,0.85,,0,0,0,0,0.298922757,0.512435458,0,0,0,0,0.134328358,0.47761194,0.417910448,0.343283582,0.811358216
7,20,32,2,0.85,,0,0,0,0,0.284921286,0.525909905,0,0,0,0,0.149253731,0.492537313,0.414925373,0.343283582,0.810831191
3,5,64,2,0.85,,0,0,0,0,0.273106061,0.536125242,0,0,0,0,0.117647059,0.485294118,0.432352941,0.367647059,0.809231303
14,50,16,2,0.85,,0,0,0,0,0.192011312,0.614265008,0,0,0,0,0.090909091,0.5,0.460606061,0.409090909,0.80627632
7,50,32,2,0.85,,0,0,0,0,0.242326378,0.560589475,0,0,0,0,0.164179104,0.507462687,0.429850746,0.343283582,0.802915852
3,20,16,3,0.85,,0,0,0,0,0.236137426,0.558819208,0,0,0,0,0.088235294,0.470588235,0.429411765,0.382352941,0.794956634
1,5,256,3,0.85,,0,0,0,0,0.193896257,0.599884962,0,0,0,0,0.161764706,0.558823529,0.447058824,0.397058824,0.793781218
1,5,64,2,0.85,,0,0,0,0,0.201428571,0.58869991,0,0,0,0,0.161764706,0.544117647,0.441176471,0.382352941,0.790128481
3,5,256,2,0.85,,0,0,0,0,0.302727976,0.486808218,0,0,0,0,0.117647059,0.5,0.435294118,0.382352941,0.789536193
1,80,128,2,0.85,,0,0,0,0,0.208643415,0.580240743,0,0,0,0,0.161764706,0.514705882,0.432352941,0.352941176,0.788884158
1,80,256,2,0.85,,0,0,0,0,0.210733851,0.577175301,0,0,0,0,0.147058824,0.514705882,0.432352941,0.367647059,0.787909152
7,20,16,1,0.85,,0,0,0,0,0.261372497,0.524586637,0,0,0,0,0.104477612,0.462686567,0.402985075,0.358208955,0.785959134
