lag,batch_size,neurons,layers,split,accuracy,f1-0,f1-1,f1-2,f1-3,f1-4,f1-5,f1-6,f1-7,f1-8,f1-9,diff_acc,max_acc,mean_acc,min_acc,f1-total
14,80,128,1,0.85,,0,0,0,0,0.318461615,0.499626321,0,0,0,0,0.179104478,0.47761194,0.4,0.298507463,0.818087936
1,5,64,1,0.85,,0,0,0,0.036363636,0.170104606,0.611375498,0,0,0,0,0.115942029,0.52173913,0.457971014,0.405797101,0.817843739
3,50,64,1,0.85,,0,0,0,0,0.27062307,0.54343332,0,0,0,0,0.147058824,0.5,0.429411765,0.352941176,0.81405639
7,5,256,1,0.85,,0,0,0,0,0.317751656,0.49409148,0,0,0,0,0.132352941,0.455882353,0.391176471,0.323529412,0.811843136
3,5,64,1,0.85,,0,0,0,0.057142857,0.205815684,0.546829692,0,0,0,0,0.058823529,0.441176471,0.408823529,0.382352941,0.809788233
14,50,256,3,0.85,,0,0,0,0.044444444,0.247033087,0.517502471,0,0,0,0,0.179104478,0.492537313,0.4,0.313432836,0.808980003
3,20,256,2,0.85,,0,0,0,0.08,0.191004274,0.535117212,0,0,0,0,0.058823529,0.411764706,0.4,0.352941176,0.806121486
3,50,32,1,0.85,,0,0,0,0,0.283131552,0.522846707,0,0,0,0,0.117647059,0.470588235,0.426470588,0.352941176,0.805978259
14,5,128,3,0.85,,0,0,0,0,0.311825735,0.493919271,0,0,0,0,0.208955224,0.492537313,0.414925373,0.28358209,0.805745005
3,50,64,2,0.85,,0,0,0,0.05,0.254483123,0.501062567,0,0,0,0,0.088235294,0.426470588,0.394117647,0.338235294,0.80554569
3,20,256,1,0.85,,0,0,0,0.057142857,0.21004135,0.537858303,0,0,0,0,0.073529412,0.441176471,0.405882353,0.367647059,0.80504251
3,5,256,3,0.85,,0,0,0,0,0.346689973,0.45775838,0,0,0,0,0.102941176,0.470588235,0.414705882,0.367647059,0.804448353
14,20,32,3,0.85,,0,0,0,0,0.288618975,0.513850392,0,0,0,0,0.149253731,0.462686567,0.408955224,0.313432836,0.802469367
14,20,128,3,0.85,,0,0,0,0,0.279982163,0.52229421,0,0,0,0,0.179104478,0.462686567,0.411940299,0.28358209,0.802276373
14,5,64,3,0.85,,0,0,0,0,0.281741491,0.51930839,0,0,0,0,0.179104478,0.47761194,0.411940299,0.298507463,0.801049881
3,80,256,3,0.85,,0,0,0,0.137142857,0.080413895,0.58341081,0,0,0,0,0.058823529,0.455882353,0.423529412,0.397058824,0.800967562
14,20,128,1,0.85,,0,0,0,0,0.293837805,0.506000174,0,0,0,0,0.208955224,0.492537313,0.4,0.28358209,0.799837979
7,5,256,2,0.85,,0,0,0,0,0.274255096,0.520455503,0,0,0,0,0.073529412,0.455882353,0.4,0.382352941,0.794710598
3,5,32,3,0.85,,0,0,0,0.08,0.13156682,0.581568509,0,0,0,0,0.044117647,0.441176471,0.429411765,0.397058824,0.793135329
1,80,256,2,0.85,,0,0,0,0.044444444,0.125308025,0.623337155,0,0,0,0,0.144927536,0.550724638,0.460869565,0.405797101,0.793089624
3,50,128,3,0.85,,0,0,0,0.1,0.201995106,0.490726869,0,0,0,0,0.088235294,0.441176471,0.388235294,0.352941176,0.792721976
7,80,64,1,0.85,,0,0,0,0,0.225780431,0.566642709,0,0,0,0,0.058823529,0.455882353,0.432352941,0.397058824,0.792423139
14,50,64,2,0.85,,0,0,0,0,0.261999374,0.522799228,0,0,0,0,0.194029851,0.47761194,0.4,0.28358209,0.784798602
7,80,32,1,0.85,,0,0,0,0,0.227543462,0.555737949,0,0,0,0,0.073529412,0.470588235,0.432352941,0.397058824,0.783281411
7,5,32,2,0.85,,0,0,0,0,0.237075543,0.544317085,0,0,0,0,0.073529412,0.455882353,0.411764706,0.382352941,0.781392628
14,5,16,2,0.85,,0,0,0,0,0.240775041,0.535458017,0,0,0,0,0.164179104,0.462686567,0.405970149,0.298507463,0.776233057
14,80,256,1,0.85,,0,0,0,0,0.270769626,0.503519479,0,0,0,0,0.194029851,0.492537313,0.394029851,0.298507463,0.774289105
3,50,128,1,0.85,,0,0,0,0,0.216839316,0.550500747,0,0,0,0,0.088235294,0.441176471,0.417647059,0.352941176,0.767340063
14,20,64,3,0.85,,0,0,0,0,0.276160109,0.486694284,0,0,0,0,0.208955224,0.47761194,0.391044776,0.268656716,0.762854393
7,80,128,1,0.85,,0,0,0,0,0.187816127,0.574919234,0,0,0,0,0.088235294,0.470588235,0.432352941,0.382352941,0.762735361
7,20,32,2,0.85,,0,0,0,0,0.203763959,0.558780768,0,0,0,0,0.073529412,0.470588235,0.429411765,0.397058824,0.762544727
