lag,epochs,batch_size,neurons,layers,split,mean_acc,min_acc,max_acc,diff_acc
7.0,10000.0,5.0,16.0,3.0,0.85,0.5205882352941177,0.39705882352941174,0.6176470588235294,0.2205882352941177
7.0,10000.0,20.0,16.0,3.0,0.85,0.5441176470588236,0.47058823529411764,0.6029411764705882,0.13235294117647056
7.0,10000.0,50.0,16.0,3.0,0.85,0.488235294117647,0.4117647058823529,0.5588235294117647,0.1470588235294118
7.0,10000.0,80.0,16.0,3.0,0.85,0.4911764705882353,0.4117647058823529,0.5882352941176471,0.17647058823529416
7.0,10000.0,5.0,32.0,1.0,0.85,0.5,0.38235294117647056,0.6470588235294118,0.26470588235294124
7.0,10000.0,20.0,32.0,1.0,0.85,0.5058823529411764,0.4411764705882353,0.5588235294117647,0.11764705882352944
7.0,10000.0,50.0,32.0,1.0,0.85,0.5,0.45588235294117646,0.5735294117647058,0.11764705882352938
7.0,10000.0,80.0,32.0,1.0,0.85,0.5205882352941177,0.4117647058823529,0.6176470588235294,0.20588235294117652
7.0,10000.0,5.0,32.0,2.0,0.85,0.5294117647058822,0.4411764705882353,0.6617647058823529,0.22058823529411764
7.0,10000.0,20.0,32.0,2.0,0.85,0.5264705882352941,0.4117647058823529,0.6176470588235294,0.20588235294117652
7.0,10000.0,50.0,32.0,2.0,0.85,0.48235294117647054,0.4264705882352941,0.5441176470588235,0.11764705882352938
7.0,10000.0,80.0,32.0,2.0,0.85,0.48235294117647054,0.4264705882352941,0.5882352941176471,0.16176470588235298
7.0,10000.0,5.0,32.0,3.0,0.85,0.5764705882352941,0.5147058823529411,0.6764705882352942,0.16176470588235303
7.0,10000.0,20.0,32.0,3.0,0.85,0.5441176470588236,0.47058823529411764,0.6029411764705882,0.13235294117647056
7.0,10000.0,50.0,32.0,3.0,0.85,0.5147058823529411,0.4117647058823529,0.6323529411764706,0.22058823529411764
7.0,10000.0,80.0,32.0,3.0,0.85,0.5352941176470588,0.47058823529411764,0.6323529411764706,0.16176470588235292
7.0,10000.0,5.0,64.0,1.0,0.85,0.4852941176470589,0.39705882352941174,0.5735294117647058,0.1764705882352941
7.0,10000.0,20.0,64.0,1.0,0.85,0.49411764705882355,0.4411764705882353,0.6176470588235294,0.17647058823529416
7.0,10000.0,50.0,64.0,1.0,0.85,0.4882352941176471,0.4411764705882353,0.5294117647058824,0.08823529411764708
7.0,10000.0,80.0,64.0,1.0,0.85,0.4764705882352941,0.38235294117647056,0.5882352941176471,0.20588235294117652
7.0,10000.0,5.0,64.0,2.0,0.85,0.5294117647058824,0.47058823529411764,0.5882352941176471,0.11764705882352944
7.0,10000.0,20.0,64.0,2.0,0.85,0.5235294117647058,0.4411764705882353,0.5882352941176471,0.1470588235294118
7.0,10000.0,50.0,64.0,2.0,0.85,0.5205882352941176,0.47058823529411764,0.5588235294117647,0.08823529411764708
7.0,10000.0,80.0,64.0,2.0,0.85,0.5235294117647058,0.4264705882352941,0.6617647058823529,0.23529411764705882
