lag,batch_size,neurons,layers,split,mean_acc,min_acc,max_acc,diff_acc
1,50,128,3,0.85,0.482352941,0.426470588,0.529411765,0.102941176
1,20,256,2,0.85,0.482352941,0.426470588,0.529411765,0.102941176
1,20,64,3,0.85,0.479411765,0.441176471,0.529411765,0.088235294
1,80,256,3,0.85,0.479411765,0.397058824,0.529411765,0.132352941
1,80,32,2,0.85,0.476470588,0.397058824,0.529411765,0.132352941
1,20,64,2,0.85,0.476470588,0.441176471,0.529411765,0.088235294
1,5,128,2,0.85,0.476470588,0.426470588,0.529411765,0.102941176
1,5,128,3,0.85,0.476470588,0.367647059,0.529411765,0.161764706
1,80,16,3,0.85,0.473529412,0.338235294,0.529411765,0.191176471
1,80,16,2,0.85,0.467647059,0.352941176,0.529411765,0.176470588
1,80,32,3,0.85,0.467647059,0.338235294,0.529411765,0.191176471
1,50,64,2,0.85,0.508823529,0.5,0.514705882,0.014705882
1,5,16,1,0.85,0.488235294,0.470588235,0.514705882,0.044117647
1,20,32,1,0.85,0.485294118,0.455882353,0.514705882,0.058823529
1,5,16,2,0.85,0.482352941,0.441176471,0.514705882,0.073529412
1,20,32,3,0.85,0.482352941,0.441176471,0.514705882,0.073529412
1,20,64,1,0.85,0.479411765,0.426470588,0.514705882,0.088235294
1,5,128,1,0.85,0.479411765,0.441176471,0.514705882,0.073529412
1,5,256,1,0.85,0.479411765,0.441176471,0.514705882,0.073529412
1,20,256,1,0.85,0.476470588,0.441176471,0.514705882,0.073529412
1,5,32,3,0.85,0.473529412,0.411764706,0.514705882,0.102941176
1,5,32,1,0.85,0.467647059,0.411764706,0.514705882,0.102941176
1,50,256,1,0.85,0.494117647,0.485294118,0.5,0.014705882
1,20,128,1,0.85,0.482352941,0.455882353,0.5,0.044117647
1,80,64,3,0.85,0.473529412,0.441176471,0.5,0.058823529
1,80,128,3,0.85,0.473529412,0.441176471,0.5,0.058823529
1,80,128,1,0.85,0.470588235,0.455882353,0.5,0.044117647
1,80,256,2,0.85,0.470588235,0.441176471,0.5,0.058823529
1,80,64,1,0.85,0.467647059,0.426470588,0.5,0.073529412
1,80,128,2,0.85,0.467647059,0.426470588,0.5,0.073529412
1,80,256,1,0.85,0.467647059,0.455882353,0.5,0.044117647
3,50,16,1,0.85,0.467647059,0.426470588,0.5,0.073529412
1,80,64,2,0.85,0.464705882,0.426470588,0.5,0.073529412
1,80,32,1,0.85,0.452941176,0.397058824,0.5,0.102941176
