lag,batch_size,neurons,layers,split,mean_acc,min_acc,max_acc,diff_acc
7,80,16,1,0.85,0.498507463,0.432835821,0.537313433,0.104477612
3,50,16,1,0.85,0.497058824,0.441176471,0.544117647,0.102941176
1,20,16,1,0.85,0.497058824,0.455882353,0.529411765,0.073529412
1,5,16,3,0.85,0.497058824,0.455882353,0.529411765,0.073529412
14,20,16,2,0.85,0.496969697,0.439393939,0.606060606,0.166666667
14,20,16,3,0.85,0.496969697,0.439393939,0.606060606,0.166666667
14,5,128,1,0.85,0.496969697,0.46969697,0.575757576,0.106060606
14,20,256,3,0.85,0.496969697,0.439393939,0.560606061,0.121212121
7,80,128,1,0.85,0.495522388,0.373134328,0.567164179,0.194029851
7,5,16,2,0.85,0.495522388,0.388059701,0.567164179,0.179104478
1,20,16,2,0.85,0.494117647,0.441176471,0.529411765,0.088235294
14,50,16,3,0.85,0.493939394,0.454545455,0.575757576,0.121212121
7,80,64,3,0.85,0.492537313,0.373134328,0.582089552,0.208955224
1,5,16,2,0.85,0.491176471,0.455882353,0.529411765,0.073529412
14,80,16,2,0.85,0.490909091,0.439393939,0.590909091,0.151515152
14,5,32,1,0.85,0.490909091,0.424242424,0.53030303,0.106060606
7,50,32,2,0.85,0.489552239,0.402985075,0.552238806,0.149253731
7,20,256,1,0.85,0.489552239,0.417910448,0.52238806,0.104477612
1,20,128,3,0.85,0.488235294,0.441176471,0.544117647,0.102941176
1,20,256,3,0.85,0.488235294,0.455882353,0.529411765,0.073529412
1,5,64,3,0.85,0.488235294,0.426470588,0.514705882,0.088235294
14,80,32,2,0.85,0.487878788,0.409090909,0.575757576,0.166666667
14,80,16,3,0.85,0.487878788,0.454545455,0.560606061,0.106060606
7,20,128,3,0.85,0.486567164,0.373134328,0.582089552,0.208955224
7,5,128,3,0.85,0.486567164,0.447761194,0.552238806,0.104477612
7,80,32,3,0.85,0.486567164,0.432835821,0.537313433,0.104477612
1,5,256,2,0.85,0.485294118,0.426470588,0.544117647,0.117647059
1,20,32,2,0.85,0.485294118,0.455882353,0.529411765,0.073529412
1,5,128,1,0.85,0.485294118,0.441176471,0.529411765,0.088235294
1,20,128,2,0.85,0.485294118,0.441176471,0.529411765,0.088235294
1,5,64,2,0.85,0.485294118,0.441176471,0.529411765,0.088235294
1,50,256,2,0.85,0.485294118,0.455882353,0.5,0.044117647
14,80,128,3,0.85,0.484848485,0.393939394,0.666666667,0.272727273
7,50,64,3,0.85,0.48358209,0.358208955,0.611940299,0.253731343
1,20,64,2,0.85,0.482352941,0.441176471,0.529411765,0.088235294
1,5,16,1,0.85,0.482352941,0.455882353,0.514705882,0.058823529
1,5,32,2,0.85,0.482352941,0.470588235,0.5,0.029411765
1,20,64,1,0.85,0.482352941,0.455882353,0.5,0.044117647
14,5,256,2,0.85,0.481818182,0.393939394,0.560606061,0.166666667
7,5,256,1,0.85,0.480597015,0.388059701,0.567164179,0.179104478
7,20,64,3,0.85,0.480597015,0.402985075,0.567164179,0.164179104
7,5,256,3,0.85,0.480597015,0.402985075,0.537313433,0.134328358
1,20,64,3,0.85,0.479411765,0.426470588,0.558823529,0.132352941
1,5,128,3,0.85,0.479411765,0.426470588,0.529411765,0.102941176
1,80,64,2,0.85,0.479411765,0.382352941,0.529411765,0.147058824
1,5,32,3,0.85,0.479411765,0.455882353,0.514705882,0.058823529
1,5,256,1,0.85,0.479411765,0.441176471,0.5,0.058823529
14,5,256,3,0.85,0.478787879,0.409090909,0.560606061,0.151515152
7,80,64,2,0.85,0.47761194,0.358208955,0.567164179,0.208955224
7,80,256,1,0.85,0.47761194,0.373134328,0.552238806,0.179104478
7,5,64,1,0.85,0.47761194,0.388059701,0.552238806,0.164179104
7,5,16,1,0.85,0.47761194,0.388059701,0.537313433,0.149253731
7,80,32,2,0.85,0.47761194,0.402985075,0.52238806,0.119402985
1,5,128,2,0.85,0.476470588,0.426470588,0.544117647,0.117647059
1,50,256,3,0.85,0.476470588,0.426470588,0.529411765,0.102941176
1,5,32,1,0.85,0.476470588,0.455882353,0.5,0.044117647
14,5,32,3,0.85,0.475757576,0.424242424,0.545454545,0.121212121
14,5,64,3,0.85,0.475757576,0.424242424,0.545454545,0.121212121
7,5,32,2,0.85,0.474626866,0.373134328,0.537313433,0.164179104
1,80,32,3,0.85,0.473529412,0.338235294,0.529411765,0.191176471
1,5,256,3,0.85,0.473529412,0.397058824,0.529411765,0.132352941
1,80,16,1,0.85,0.473529412,0.338235294,0.529411765,0.191176471
1,80,64,1,0.85,0.473529412,0.382352941,0.529411765,0.147058824
1,80,64,3,0.85,0.473529412,0.352941176,0.529411765,0.176470588
1,5,64,1,0.85,0.473529412,0.426470588,0.514705882,0.088235294
1,20,128,1,0.85,0.473529412,0.441176471,0.5,0.058823529
1,80,128,2,0.85,0.473529412,0.455882353,0.5,0.044117647
1,80,128,3,0.85,0.473529412,0.455882353,0.5,0.044117647
