DateTime,Close,Volume_(BTC),Weighted_Price,neg_pol,neu_pol,pos_pol,compound,dt,Tweet_vol
2018-12-09 00:00:00+00:00,3556.65,6.067098061553398,3484.3622983708738,0.047178294573643406,0.8364341085271318,0.11640310077519378,0.17696744186046512,2018-12-09 12:16:48.887229184+00:00,791.0
2018-12-10 00:00:00+00:00,3385.01,7.689860392352113,3454.317616476479,0.040727848101265826,0.8443607594936708,0.11493670886075949,0.18740316455696202,2018-12-10 11:58:04.563380224+00:00,841.0
2018-12-11 00:00:00+00:00,3333.7,6.410761057823322,3360.228741276184,0.045445714285714284,0.8317257142857144,0.1228342857142857,0.1895822857142857,2018-12-11 12:06:51.519434752+00:00,901.0
2018-12-12 00:00:00+00:00,3377.77,5.528771332808989,3404.9303298457166,0.041762626262626265,0.8297777777777777,0.12845454545454543,0.22667272727272728,2018-12-12 12:09:13.735955200+00:00,866.0
2018-12-13 00:00:00+00:00,3271.64,8.957626343757742,3348.059780883138,0.04049090909090909,0.8443272727272728,0.11519090909090908,0.18569,2018-12-13 12:12:26.097729024+00:00,977.0
2018-12-14 00:00:00+00:00,3205.33,10.126683340916498,3227.7996738154106,0.04438910505836576,0.8593463035019455,0.09626070038910506,0.16881206225680934,2018-12-14 12:05:34.867617280+00:00,1027.0
2018-12-15 00:00:00+00:00,3184.67,4.407573282206745,3177.4116262706743,0.0384131455399061,0.8639718309859156,0.09764788732394367,0.15519530516431923,2018-12-15 12:09:37.346041088+00:00,918.0
2018-12-16 00:00:00+00:00,3195.81,4.933491689038462,3218.7867360974856,0.044401162790697675,0.8568546511627908,0.09874418604651164,0.13809127906976745,2018-12-16 11:52:48.461538304+00:00,833.0
2018-12-17 00:00:00+00:00,3500.45,12.398371494791238,3362.4234515503767,0.045362385321100915,0.827967889908257,0.1266880733944954,0.23625504587155965,2018-12-17 12:14:00.574948608+00:00,971.0
2018-12-18 00:00:00+00:00,3690.74,9.921461426742475,3522.2529143808697,0.03896279069767442,0.8270511627906976,0.1340093023255814,0.2274739534883721,2018-12-18 11:55:41.538461440+00:00,959.0
2018-12-19 00:00:00+00:00,3729.67,14.74072883367677,3751.870791558249,0.05668867924528302,0.80988679245283,0.1334433962264151,0.17199433962264152,2018-12-19 11:59:38.505050368+00:00,906.0
2018-12-20 00:00:00+00:00,4132.04,18.32739458302373,3953.116213233898,0.03512135922330098,0.8266213592233009,0.13825728155339806,0.2665519417475728,2018-12-20 12:01:09.803389952+00:00,923.0
2018-12-21 00:00:00+00:00,3829.17,11.398777988893388,3953.687495309177,0.03995833333333333,0.8265260416666665,0.13352083333333334,0.24170572916666666,2018-12-21 11:59:14.817814016+00:00,898.0
2018-12-22 00:00:00+00:00,3989.87,5.542420181190645,3864.7478860980864,0.039957575757575754,0.8291999999999999,0.13086666666666666,0.19867030303030303,2018-12-22 12:05:27.172218368+00:00,809.0
2018-12-23 00:00:00+00:00,4194.7,4.579538807545788,3989.0478059906964,0.04298148148148148,0.8378888888888889,0.11914814814814814,0.1729253086419753,2018-12-23 12:00:32.263736576+00:00,827.0
2018-12-24 00:00:00+00:00,3824.39,9.010008632506793,4105.971101313722,0.05281621621621622,0.8460918918918918,0.1011027027027027,0.11145513513513514,2018-12-24 11:54:41.616847616+00:00,877.0
2018-12-25 00:00:00+00:00,3831.65,7.447516936388697,3767.3272313342527,0.049431137724550905,0.8158682634730539,0.1346826347305389,0.1773550898203593,2018-12-25 11:56:29.855272192+00:00,831.0
2018-12-26 00:00:00+00:00,3762.0,7.0378631677433,3778.659685575176,0.04209090909090909,0.8359848484848484,0.1219469696969697,0.17510757575757577,2018-12-26 12:06:44.513399296+00:00,775.0
2018-12-27 00:00:00+00:00,3588.95,8.28462195144553,3701.862009664036,0.04673856209150327,0.8331633986928105,0.12011764705882352,0.1757450980392157,2018-12-27 12:03:37.667597824+00:00,876.0
2018-12-28 00:00:00+00:00,3895.98,9.625976461626928,3725.7101023401824,0.048394117647058824,0.824529411764706,0.12707058823529413,0.19349411764705884,2018-12-28 12:00:52.973351936+00:00,859.0
2018-12-29 00:00:00+00:00,3732.15,5.753155475,3858.1659777650975,0.05937671232876713,0.8304657534246576,0.1101232876712329,0.14088424657534246,2018-12-29 12:23:41.838565120+00:00,758.0
